flightaware_url,flightradar_csv,callsign,aircraft_registration,aircraft_hex,origin_iata,origin_icao,destination_iata,destination_icao
https://www.flightaware.com/live/flight/DCUNI/history/20251207/1126Z/LEVC/EDDL/tracklog,,UNI137,D-CUNI,3CF62A,VLC,LEVC,DUS,EDDL
https://www.flightaware.com/live/flight/UNI137/history/20251208/0823Z/EDDL/EPGD/tracklog,,UNI137,D-CUNI,3CF62A,DUS,EDDL,GDN,EPGD
https://www.flightaware.com/live/flight/UNI137/history/20251208/1143Z/EPGD/EDDF/tracklog,,UNI137,D-CUNI,3CF62A,GDN,EPGD,FRA,EDDF
https://www.flightaware.com/live/flight/UNI137/history/20251208/1606Z/EDDF/LEZL/tracklog,,UNI137,D-CUNI,3CF62A,FRA,EDDF,SVQ,LEZL
https://www.flightaware.com/live/flight/UNI137/history/20251209/0841Z/LEZL/GCXO/tracklog,,UNI137,D-CUNI,3CF62A,SVQ,LEZL,TFN,GCXO
https://www.flightaware.com/live/flight/UNI137/history/20251209/1306Z/GCXO/LEVD/tracklog,,UNI137,D-CUNI,3CF62A,TFN,GCXO,VLL,LEVD
https://www.flightaware.com/live/flight/UNI137/history/20251209/1620Z/LEVD/EDLW/tracklog,,UNI137,D-CUNI,3CF62A,VLL,LEVD,DTM,EDLW
https://www.flightaware.com/live/flight/UNI137/history/20251210/0947Z/EDLW/LEAL/tracklog,,UNI137,D-CUNI,3CF62A,DTM,EDLW,ALC,LEAL
,UNI137_3d732446,UNI137,D-CUNI,3CF62A,ALC,LEAL,BHX,EGBB
https://www.flightaware.com/live/flight/UNI137/history/20251211/0905Z/EGBB/EDDK/tracklog,,UNI137,D-CUNI,3CF62A,BHX,EGBB,CGN,EDDK
