Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1759313151,2025-10-01T10:05:51Z,UNI133,"51.430618,9.329619",1175,139,146
1759313153,2025-10-01T10:05:53Z,UNI133,"51.429749,9.33051",1175,137,145
1759313156,2025-10-01T10:05:56Z,UNI133,"51.428329,9.332144",1125,135,143
1759313158,2025-10-01T10:05:58Z,UNI133,"51.427368,9.333331",1100,132,140
1759313160,2025-10-01T10:06:00Z,UNI133,"51.426498,9.334667",1075,128,135
1759313162,2025-10-01T10:06:02Z,UNI133,"51.42551,9.336472",1025,125,131
1759313164,2025-10-01T10:06:04Z,UNI133,"51.424862,9.337997",1000,123,125
1759313167,2025-10-01T10:06:07Z,UNI133,"51.423981,9.340309",950,123,120
1759313169,2025-10-01T10:06:09Z,UNI133,"51.423615,9.341645",900,121,112
1759313173,2025-10-01T10:06:13Z,UNI133,"51.423183,9.343872",850,121,112
1759313175,2025-10-01T10:06:15Z,UNI133,"51.422928,9.345802",825,120,100
1759313178,2025-10-01T10:06:18Z,UNI133,"51.422718,9.349747",750,118,96
1759313185,2025-10-01T10:06:25Z,UNI133,"51.422699,9.353671",700,114,90
1759313188,2025-10-01T10:06:28Z,UNI133,"51.422699,9.356418",650,117,91
1759313190,2025-10-01T10:06:30Z,UNI133,"51.422607,9.360203",600,117,91
1759313192,2025-10-01T10:06:32Z,UNI133,"51.42247,9.361911",575,117,95
1759313237,2025-10-01T10:07:17Z,UNI133,"51.420811,9.392012",0,0,95
